query,title,year,venue,doi,type
robot vision shadow,3D Reconstruction by Fusioning Shadow and Silhouette Information,2014,2014 Canadian Conference on Computer and Robot Vision,10.1109/crv.2014.58,proceedings-article
robot vision shadow,Shadow and Highlight Removal,2022,Research on Intelligent Manufacturing,10.1007/978-981-16-6429-8_6,book-chapter
robot vision shadow,Shadow Modeling and Detection,2022,Research on Intelligent Manufacturing,10.1007/978-981-16-6429-8_4,book-chapter
robot vision shadow,Gesture based wireless shadow robot,2016,"2016 5th International Conference on Informatics, Electronics and Vision (ICIEV)",10.1109/iciev.2016.7760024,proceedings-article
robot vision shadow,Shadow compensation for computer vision in a robot soccer team,2006,"IEEE International Symposium on Communications and Information Technology, 2005. ISCIT 2005.",10.1109/iscit.2005.1566788,proceedings-article
robot vision shadow,Shadow Detection and Elimination for Robot and Machine Vision Applications,2024,Scientific Visualization,10.26583/sv.16.2.02,journal-article
robot vision shadow,Modularity and Component Reuse at the Shadow Robot Company,2006,Climbing and Walking Robots,10.1007/3-540-26415-9_84,book-chapter
robot vision shadow,Robot vision using 3D TOF systems,2010,Robot Vision,10.5772/9289,book-chapter
robot vision shadow,Robot Vision in Industrial Assembly and Quality Control Processes,2010,Robot Vision,10.5772/9285,book-chapter
robot vision shadow,An Approach for Optimal Design of Robot Vision Systems,2010,Robot Vision,10.5772/9304,book-chapter
robot vision shadow,Real-Time Multiple-Vehicle Detection and Tracking System in Complex Environment with Automatic Lane Detection and Reducing Shadow Effects,2011,"2011 First International Conference on Robot, Vision and Signal Processing",10.1109/rvsp.2011.29,proceedings-article
robot vision shadow,Testing Stereoscopic Vision in Robot Teleguide,2010,Robot Vision,10.5772/9281,book-chapter
robot vision shadow,A Darkly Radiant Vision,2023,,10.12987/yale/9780300264524.001.0001,edited-book
robot vision shadow,Extraction of Multi–modal Object Representations in a Robot Vision System,2007,Robot Vision,10.5220/0002068501260135,proceedings-article
robot vision shadow,Methods for Reliable Robot Vision with a Dioptric System,2010,Robot Vision,10.5772/9306,book-chapter
robot vision shadow,The Shadow robot mimics human actions,2003,Industrial Robot: An International Journal,10.1108/01439910310457715,journal-article
robot vision shadow,Automatic Chocolate Decoration by Robot Vision,1983,Robot Vision,10.1007/978-3-662-09771-7_23,book-chapter
robot vision shadow,The role of shadow in 3D object representation: Evidence from shadow-specific priming,2010,Journal of Vision,10.1167/9.8.75,journal-article
robot vision shadow,Person Following through Appearance Models and Stereo Vision Using a Mobile Robot,2007,Robot Vision,10.5220/0002069800460056,proceedings-article
robot vision shadow,Image Stabilization in Active Robot Vision,2010,Robot Vision,10.5772/9298,book-chapter
robot vision shadow,Shadow Removal via Shadow Image Decomposition,2019,2019 IEEE/CVF International Conference on Computer Vision (ICCV),10.1109/iccv.2019.00867,proceedings-article
robot vision shadow,Remote Robot Vision Control of a Flexible Manufacturing Cell,2010,Robot Vision,10.5772/9280,book-chapter
robot vision shadow,Present Industrial Use of Vision Sensors for Robot Guidance,1983,Robot Vision,10.1007/978-3-662-09771-7_11,book-chapter
robot vision shadow,The PUMA/VS-100 Robot Vision System,1983,Robot Vision,10.1007/978-3-662-09771-7_25,book-chapter
robot vision shadow,Notes,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.002.0007,book-chapter
robot vision shadow,Illustration,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.002.0006,book-chapter
robot vision shadow,Preface,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.002.0005,book-chapter
robot vision shadow,Dedication,2023,A Darkly Radiant Vision,10.12987/yale/9780300264524.002.0003,book-chapter
robot vision shadow,Shadow,2021,Computer Vision,10.1007/978-3-030-63416-2_300175,book-chapter
